time_s,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1754150912.308003,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150912.408359,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150912.508773,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150912.609032,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150912.709330,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150912.809741,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150912.910073,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150913.010739,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150913.110656,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150913.210918,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150913.311599,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150913.411608,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150913.512011,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150913.612988,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150913.712787,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150913.813576,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150913.913668,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150914.015438,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150914.114417,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150914.214487,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150914.315421,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150914.415489,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150914.515944,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150914.616273,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150914.716663,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150914.817152,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150914.917429,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150915.017724,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150915.118075,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150915.218482,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150915.318710,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150915.419566,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150915.520499,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150915.620567,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150915.721147,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150915.821280,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150915.921504,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150916.021854,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150916.122456,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150916.223190,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150916.323344,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150916.423605,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150916.524198,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150916.624489,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150916.725386,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150916.825384,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150916.928027,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150917.026197,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150917.126422,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150917.227366,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150917.327894,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150917.427456,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150917.527696,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150917.628215,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000
1754150917.703639,0.220000,0.000000,0.000000,0.000000,0.000000,-0.050000
1754150917.803930,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150917.904363,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150918.004490,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
1754150918.104751,0.220000,0.000000,0.000000,0.000000,0.000000,-0.100000
